,stem_basepoint,stem_height,stem_angle,DBH,CBH,crown_height,crown_baseheight,crown_diameter,crown_shape,crown_volume-convex,crown_volume-alpha,tree_height,source,treecode
0,[1.21913388e+05 4.87434522e+05 1.70080500e+00],3.9801950254806395,6.361705594958268,,,10.55,4.120195025480639,14.687099781836197,Spherical,800.0678640351398,387.986966928991,14.67019502548064,ahn,121913_487434
1,[1.21921284e+05 4.87459100e+05 2.13259840e+00],3.592401484230422,1.1012484487241119,,,12.13,3.602401484230422,12.527933531821152,Spherical,767.5045936508104,492.3464114770759,15.732401484230422,ahn,121922_487459
2,[1.21913285e+05 4.87434521e+05 1.69382397e+00],2.784176048738316,6.084615071870352,0.5712560836285339,1.7946539156458785,12.377,2.7851760487383164,16.294077269787778,Spherical,1207.382612736139,863.8262060803827,15.162176048738317,sonarski,121913_487434
3,[1.21921272e+05 4.87459134e+05 2.13339563e+00],1.0856042810684419,1.8501010906156357,,,15.979000000000001,1.0866042810684418,15.391354136149513,Spherical,1394.377742507495,1040.5187315738294,17.065604281068442,sonarski,121922_487459
4,[1.21913302e+05 4.87434544e+05 1.69301204e+00],4.031072466778486,6.400904869109406,0.5720495545226427,1.7971466779776482,11.58,3.711072466778486,15.881624602030385,Spherical,1072.8861779905856,759.4927753373049,15.291072466778486,cyclo,121913_487434
5,[1.21921299e+05 4.87459146e+05 2.13247598e+00],2.974705748671787,1.0870784646938372,0.49680460540912674,1.5607576986228886,13.66,2.9847057486717867,14.750537984359255,Spherical,1197.101710256189,919.2305958963698,16.644705748671786,cyclo,121922_487459
